filename,buffalo,zebra,elephant,rhino
1 (171).jpg,1.0,0.0,0.0,0.0
4 (307).jpg,0.0,1.0,0.0,0.0
1 (130).jpg,1.0,0.0,0.0,0.0
1 (376).jpg,4.0,0.0,0.0,0.0
2 (169).jpg,0.0,0.0,1.0,0.0
2 (243).jpg,0.0,0.0,1.0,0.0
4 (226).jpg,0.0,1.0,0.0,0.0
2 (208).jpg,0.0,0.0,1.0,0.0
4 (112).jpg,0.0,1.0,0.0,0.0
1 (247).jpg,1.0,0.0,0.0,0.0
2 (328).jpg,0.0,0.0,1.0,0.0
3 (271).jpg,0.0,0.0,0.0,1.0
3 (164).jpg,0.0,0.0,0.0,1.0
3 (67).jpg,0.0,0.0,0.0,1.0
2 (353).jpg,0.0,0.0,1.0,0.0
4 (79).jpg,0.0,2.0,0.0,0.0
2 (144).jpg,0.0,0.0,3.0,0.0
2 (197).jpg,0.0,0.0,1.0,0.0
3 (261).jpg,0.0,0.0,0.0,1.0
2 (85).jpg,0.0,0.0,2.0,0.0
1 (74).jpg,4.0,0.0,0.0,0.0
1 (144).jpg,1.0,0.0,0.0,0.0
3 (266).jpg,0.0,0.0,2.0,3.0
4 (44).jpg,0.0,4.0,0.0,0.0
4 (254).jpg,0.0,4.0,0.0,0.0
3 (232).jpg,0.0,0.0,0.0,2.0
4 (163).jpg,0.0,0.0,1.0,0.0
3 (233).jpg,0.0,0.0,0.0,2.0
2 (100).jpg,0.0,0.0,2.0,0.0
2 (83).jpg,0.0,0.0,1.0,0.0
2 (122).jpg,0.0,0.0,1.0,0.0
4 (132).jpg,0.0,2.0,0.0,0.0
4 (315).jpg,0.0,2.0,0.0,0.0
2 (249).jpg,0.0,0.0,1.0,0.0
3 (265).jpg,0.0,0.0,0.0,3.0
1 (196).jpg,1.0,0.0,0.0,0.0
3 (90).jpg,0.0,0.0,0.0,2.0
1 (356).jpg,1.0,0.0,0.0,0.0
1 (198).jpg,1.0,0.0,0.0,0.0
4 (18).jpg,0.0,1.0,0.0,0.0
2 (341).jpg,0.0,0.0,2.0,0.0
4 (19).jpg,0.0,3.0,0.0,0.0
2 (316).jpg,0.0,0.0,1.0,0.0
2 (130).jpg,0.0,0.0,11.0,0.0
4 (152).jpg,0.0,2.0,0.0,0.0
2 (227).jpg,0.0,0.0,4.0,0.0
2 (226).jpg,0.0,0.0,1.0,0.0
4 (270).jpg,0.0,2.0,0.0,0.0
3 (79).jpg,0.0,0.0,0.0,1.0
3 (120).jpg,0.0,0.0,0.0,1.0
4 (260).jpg,0.0,1.0,0.0,0.0
4 (68).jpg,0.0,2.0,0.0,0.0
1 (18).jpg,1.0,0.0,0.0,0.0
2 (119).jpg,0.0,0.0,1.0,0.0
3 (93).jpg,0.0,0.0,0.0,1.0
3 (7).jpg,0.0,0.0,0.0,1.0
1 (317).jpg,1.0,0.0,0.0,0.0
2 (343).jpg,0.0,0.0,1.0,0.0
2 (34).jpg,0.0,1.0,2.0,0.0
3 (287).jpg,0.0,0.0,0.0,1.0
1 (199).jpg,1.0,0.0,0.0,0.0
4 (305).jpg,0.0,1.0,0.0,0.0
4 (107).jpg,0.0,1.0,0.0,0.0
3 (256).jpg,0.0,0.0,0.0,2.0
2 (97).jpg,0.0,0.0,3.0,0.0
4 (75).jpg,0.0,9.0,0.0,0.0
3 (214).jpg,0.0,0.0,0.0,1.0
3 (314).jpg,1.0,0.0,0.0,1.0
2 (306).jpg,0.0,0.0,1.0,0.0
4 (16).jpg,0.0,2.0,0.0,0.0
4 (224).jpg,0.0,1.0,0.0,0.0
2 (376).jpg,0.0,0.0,1.0,0.0
2 (234).jpg,0.0,0.0,1.0,0.0
4 (148).jpg,0.0,3.0,0.0,0.0
1 (179).jpg,1.0,0.0,0.0,0.0
3 (213).jpg,0.0,0.0,0.0,1.0
4 (336).jpg,0.0,2.0,1.0,0.0
2 (72).jpg,0.0,0.0,3.0,0.0
4 (329).jpg,0.0,2.0,0.0,0.0
4 (179).jpg,0.0,3.0,0.0,0.0
4 (210).jpg,0.0,2.0,0.0,0.0
3 (139).jpg,0.0,0.0,0.0,1.0
3 (166).jpg,0.0,0.0,0.0,1.0
3 (54).jpg,0.0,0.0,0.0,1.0
3 (281).jpg,0.0,0.0,0.0,1.0
1 (53).jpg,2.0,0.0,0.0,0.0
2 (270).jpg,0.0,0.0,2.0,0.0
2 (326).jpg,0.0,0.0,1.0,0.0
2 (268).jpg,0.0,0.0,2.0,0.0
4 (136).jpg,0.0,1.0,0.0,0.0
3 (144).jpg,0.0,0.0,0.0,2.0
2 (115).jpg,0.0,0.0,1.0,0.0
2 (286).jpg,0.0,0.0,3.0,0.0
4 (243).jpg,0.0,1.0,0.0,0.0
3 (334).jpg,0.0,0.0,0.0,1.0
4 (153).jpg,0.0,1.0,0.0,0.0
1 (183).jpg,2.0,0.0,0.0,0.0
1 (131).jpg,1.0,0.0,0.0,0.0
4 (233).jpg,0.0,1.0,0.0,0.0
2 (138).jpg,0.0,0.0,1.0,0.0
3 (228).jpg,0.0,0.0,0.0,2.0
4 (196).jpg,0.0,1.0,0.0,0.0
4 (288).jpg,0.0,2.0,0.0,0.0
3 (122).jpg,0.0,0.0,0.0,1.0
4 (102).jpg,0.0,2.0,0.0,0.0
3 (46).jpg,0.0,0.0,0.0,1.0
3 (206).jpg,0.0,0.0,0.0,1.0
3 (123).jpg,0.0,0.0,0.0,2.0
1 (83).jpg,1.0,0.0,0.0,0.0
3 (351).jpg,0.0,0.0,0.0,2.0
3 (132).jpg,0.0,0.0,0.0,1.0
1 (41).jpg,1.0,0.0,0.0,0.0
4 (200).jpg,2.0,1.0,0.0,0.0
3 (240).jpg,0.0,0.0,0.0,1.0
3 (146).jpg,0.0,0.0,0.0,1.0
1 (34).jpg,1.0,0.0,0.0,0.0
4 (173).jpg,0.0,3.0,0.0,0.0
3 (83).jpg,0.0,0.0,0.0,1.0
2 (66).jpg,0.0,0.0,1.0,0.0
4 (222).jpg,0.0,2.0,0.0,0.0
3 (97).jpg,0.0,0.0,0.0,1.0
3 (129).jpg,0.0,0.0,0.0,1.0
1 (207).jpg,1.0,0.0,0.0,0.0
3 (55).jpg,1.0,0.0,0.0,2.0
1 (192).jpg,3.0,0.0,0.0,0.0
2 (269).jpg,0.0,0.0,1.0,0.0
4 (53).jpg,0.0,1.0,0.0,0.0
4 (131).jpg,0.0,6.0,0.0,0.0
1 (222).jpg,2.0,0.0,0.0,0.0
3 (143).jpg,0.0,0.0,0.0,1.0
3 (52).jpg,0.0,0.0,0.0,1.0
2 (154).jpg,0.0,0.0,2.0,0.0
3 (12).jpg,0.0,0.0,0.0,1.0
4 (366).jpg,0.0,1.0,0.0,0.0
4 (138).jpg,0.0,2.0,0.0,0.0
4 (218).jpg,0.0,1.0,0.0,0.0
2 (333).jpg,0.0,0.0,1.0,0.0
1 (292).jpg,0.0,0.0,2.0,0.0
1 (178).jpg,1.0,0.0,0.0,0.0
2 (323).jpg,0.0,0.0,5.0,0.0
4 (266).jpg,0.0,6.0,0.0,0.0
1 (373).jpg,3.0,0.0,0.0,0.0
2 (63).jpg,0.0,0.0,2.0,0.0
4 (199).jpg,0.0,3.0,0.0,0.0
1 (30).jpg,1.0,0.0,0.0,0.0
2 (327).jpg,0.0,0.0,1.0,0.0
1 (231).jpg,1.0,0.0,0.0,0.0
2 (214).jpg,0.0,0.0,1.0,0.0
4 (213).jpg,0.0,3.0,0.0,0.0
1 (243).jpg,1.0,0.0,0.0,0.0
4 (90).jpg,0.0,1.0,0.0,0.0
4 (257).jpg,0.0,2.0,0.0,0.0
1 (225).jpg,1.0,0.0,0.0,0.0
4 (34).jpg,0.0,9.0,0.0,0.0
4 (294).jpg,0.0,6.0,0.0,0.0
1 (128).jpg,1.0,0.0,0.0,0.0
3 (8).jpg,1.0,0.0,0.0,0.0
1 (219).jpg,1.0,0.0,0.0,0.0
4 (234).jpg,0.0,1.0,0.0,0.0
4 (116).jpg,0.0,2.0,0.0,0.0
4 (235).jpg,0.0,4.0,0.0,0.0
1 (257).jpg,1.0,0.0,0.0,0.0
3 (337).jpg,0.0,0.0,0.0,1.0
2 (290).jpg,1.0,3.0,1.0,0.0
2 (374).jpg,0.0,0.0,1.0,0.0
3 (192).jpg,0.0,0.0,0.0,2.0
4 (374).jpg,0.0,1.0,0.0,0.0
2 (339).jpg,0.0,0.0,1.0,0.0
1 (76).jpg,1.0,0.0,0.0,0.0
4 (105).jpg,0.0,2.0,0.0,0.0
